Stock Name,Ticker,Market Cap,Exchange,Country,Sector,Industry
Otis Worldwide,OTIS,"$39,401",NYSE,United States,Construction,Building & Construction Products - Misc.
TC Energy,TRP,"$39,090",NYSE,Canada,Oils/Energy,Other Alternate Energy
Lululemon Athletica Inc,LULU,"$39,039",NASDAQ,Canada,Consumer Discretionary,Textile - Apparel Manufacturing
Agilent Technologies,A,"$38,851",NYSE,United States,Computer and Technology,Electrical Test Equipment
Yum! Brands,YUM,"$38,668",NYSE,United States,Retail/Wholesale,Retail - Food & Restaurants
MSCI Inc,MSCI,"$38,657",NYSE,United States,Computer and Technology,Business Software Services
Ingersoll Rand,IR,"$38,221",NYSE,United States,Industrial Products,General Industrial Machinery
Haleon,HLN,"$37,990",NYSE,United Kingdom,Medical,Medical Products Manufacturing
Old Dominion Freight Line,ODFL,"$37,979",NASDAQ,United States,Transportation,Transportation - Truck
Hershey,HSY,"$37,861",NYSE,United States,Consumer Staples,Food Items - Confectionery
Verisk Analytics,VRSK,"$37,603",NASDAQ,United States,Business Services,Business Information Services
Arch Capital Group,ACGL,"$37,234",NASDAQ,Bermuda,Finance,"Property, Casualty and Title Insurance"
Cummins,CMI,"$37,231",NYSE,United States,Auto/Tires/Trucks,Internal Combustion Engines
General Mills,GIS,"$37,078",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Nucor,NUE,"$37,029",NYSE,United States,Basic Materials,Steel Producers
Fastenal,FAST,"$36,946",NASDAQ,United States,Retail/Wholesale,Building Products - Retail & Wholesale
Public Service Enterprise Group,PEG,"$36,380",NYSE,United States,Utilities,Utility - Electric Power Distribution
Cheniere Energy,LNG,"$36,273",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Kroger,KR,"$36,207",NYSE,United States,Retail/Wholesale,Retail - Supermarket Chains
Corteva,CTVA,"$36,201",NYSE,United States,Consumer Staples,Agricultural Operations
Centene,CNC,"$36,134",NYSE,United States,Medical,Medical - Health Maintenance Organizations
Electronic Arts,EA,"$36,129",NASDAQ,United States,Consumer Discretionary,"Toys, Games and Hobby Products"
Cenovus Energy Inc,CVE,"$35,605",NYSE,Canada,Oils/Energy,Oil & Gas - Canadian Integrated
HP,HPQ,"$35,522",NYSE,United States,Computer and Technology,Computers - Minicomputers
Sysco,SYY,"$35,421",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Exelon,EXC,"$34,751",NASDAQ,United States,Utilities,Utility - Electric Power Distribution
GE HealthCare Technologies,GEHC,"$34,678",NASDAQ,United States,Medical,Medical Information Systems
Diamondback Energy,FANG,"$34,536",NASDAQ,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Kenvue,KVUE,"$34,390",NYSE,United States,Consumer Staples,Consumer Products - Misc. Discretionary
Martin Marietta Materials,MLM,"$34,320",NYSE,United States,Construction,"Building - Cement, Concrete and Aggregates"
Nasdaq,NDAQ,"$34,254",NASDAQ,United States,Finance,Securities Exchanges
Coca-Cola Europacific Partners,CCEP,"$34,113",NASDAQ,United Kingdom,Consumer Staples,Beverages - Soft Drinks
Xylem,XYL,"$34,107",NYSE,United States,Industrial Products,General Industrial Machinery
Fair Isaac,FICO,"$34,061",NYSE,United States,Computer and Technology,Information Technology Services
Howmet Aerospace,HWM,"$34,055",NYSE,United States,Construction,Engineering - Research & Development Services
Gartner,IT,"$33,828",NYSE,United States,Business Services,Consulting Services
DraftKings,DKNG,"$33,805",NASDAQ,United States,Consumer Discretionary,Gaming
Vertiv Holdings,VRT,"$33,755",NYSE,United States,Computer and Technology,Information Technology Services
DuPont De Nemours,DD,"$33,670",NYSE,United States,Basic Materials,Chemicals - Diversified
Biogen,BIIB,"$33,579",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
NatWest Group,NWG,"$33,475",NYSE,United Kingdom,Finance,Banks - Foreign
Deutsche Bank Aktiengesellschaft,DB,"$33,399",NYSE,Germany,Finance,Banks - Foreign
Baidu,BIDU,"$33,094",NASDAQ,China,Computer and Technology,Internet Services
Cognizant Technology Solutions,CTSH,"$32,964",NASDAQ,United States,Computer and Technology,Business Software Services
Las Vegas Sands,LVS,"$32,961",NYSE,United States,Consumer Discretionary,Gaming
Vulcan Materials,VMC,"$32,947",NYSE,United States,Construction,"Building - Cement, Concrete and Aggregates"
ON Semiconductor,ON,"$32,792",NASDAQ,United States,Computer and Technology,Semiconductor - Analog & Mixed
Agnico Eagle Mines,AEM,"$32,781",NYSE,Canada,Basic Materials,Gold Miners
Extra Space Storage Inc,EXR,"$32,769",NYSE,United States,Finance,REIT - Other Equity Trusts
Ambev S.A,ABEV,"$32,768",NYSE,Brazil,Consumer Staples,Alcoholic Beverages
Trip Group,TCOM,"$32,707",NASDAQ,Singapore,Consumer Discretionary,Leisure & Recreation Services
Delta Air Lines,DAL,"$32,666",NYSE,United States,Transportation,Transportation - Airlines
Corning,GLW,"$32,569",NYSE,United States,Computer and Technology,Communication Components Manufacturers
First Solar,FSLR,"$32,188",NASDAQ,United States,Oils/Energy,Solar Equipment and Services
Baker Hughes,BKR,"$32,175",NASDAQ,United States,Oils/Energy,Oil & Gas - Field Services
CoStar,CSGP,"$31,704",NASDAQ,United States,Computer and Technology,Information Technology Services
Garmin,GRMN,"$31,537",NYSE,Switzerland,Computer and Technology,Electrical Products - Miscellaneous
Consolidated Edison Inc,ED,"$31,519",NYSE,United States,Utilities,Utility - Electric Power Distribution
Vistra,VST,"$31,466",NYSE,United States,Utilities,Utility - Electric Power Distribution
BCE,BCE,"$31,282",NYSE,Canada,Utilities,Diversified Communication Services
Heico,HEI,"$31,231",NYSE,United States,Aerospace,Aerospace and Defense Equipment
LyondellBasell Industries,LYB,"$31,230",NYSE,United States,Basic Materials,Chemicals - Diversified
Mettler-Toledo,MTD,"$31,171",NYSE,United States,Computer and Technology,Scientific Instruments Manufacturing
Discover Financial Services,DFS,"$30,992",NYSE,United States,Finance,Finance - Consumer Loands
ResMed,RMD,"$30,981",NYSE,United States,Medical,Medical Products Manufacturing
Chunghwa Telecom,CHT,"$30,712",NYSE,Taiwan,Utilities,Diversified Communication Services
Halliburton,HAL,"$30,596",NYSE,United States,Oils/Energy,Oil & Gas - Field Services
PPG Industries,PPG,"$30,581",NYSE,United States,Basic Materials,Chemicals - Specialty
Veeva Systems,VEEV,"$30,474",NYSE,United States,Computer and Technology,Internet Software
Xcel Energy,XEL,"$30,432",NASDAQ,United States,Utilities,Utility - Electric Power Distribution
CDW,CDW,"$30,414",NASDAQ,United States,Computer and Technology,Information Technology Services
Tractor Supply,TSCO,"$30,177",NASDAQ,United States,Retail/Wholesale,Retail - Miscellaneous & Diversified
HubSpot,HUBS,"$30,137",NYSE,United States,Computer and Technology,Internet Software
Equifax,EFX,"$30,127",NYSE,United States,Business Services,Financial Transaction Services
Pinterest,PINS,"$29,991",NYSE,United States,Computer and Technology,Internet Software
Archer Daniels Midland,ADM,"$29,899",NYSE,United States,Consumer Staples,Agricultural Operations
Rockwell Automation,ROK,"$29,887",NYSE,United States,Industrial Products,Industrial Automation & Robotics
Devon Energy,DVN,"$29,609",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Rocket,RKT,"$29,607",NYSE,United States,Business Services,Technology Services
VICI Properties,VICI,"$29,595",NYSE,United States,Finance,REIT - Other Equity Trusts
Ferrovial SE,FER,"$29,553",NASDAQ,,Finance,Real Estate Operations
Hartford Financial Services,HIG,"$29,398",NYSE,United States,Finance,Multi-Line Insurance Providers
Westinghouse Air Brake Technologies,WAB,"$29,134",NYSE,United States,Transportation,Transportation - Equipment & Leasing
Wipro,WIT,"$29,123",NYSE,India,Computer and Technology,Business Software Services
Barrick Gold,GOLD,"$28,792",NYSE,Canada,Basic Materials,Gold Miners
Zscaler,ZS,"$28,541",NASDAQ,United States,Computer and Technology,Internet Services
ANSYS,ANSS,"$28,494",NASDAQ,United States,Computer and Technology,Computer Software
MicroStrategy,MSTR,"$28,445",NASDAQ,United States,Computer and Technology,Computer Software
Edison,EIX,"$28,299",NYSE,United States,Utilities,Utility - Electric Power Distribution
AvalonBay Communities,AVB,"$28,261",NYSE,United States,Finance,REIT - Residential Equity Trusts
Sun Life Financial,SLF,"$28,201",NYSE,Canada,Finance,Life Insurance Providers
Ryanair Holdings,RYAAY,"$27,516",NASDAQ,Ireland,Transportation,Transportation - Airlines
On Holding AG,ONON,"$27,472",NYSE,Switzerland,Consumer Discretionary,Leisure & Recreation Products
Dollar General,DG,"$27,471",NYSE,United States,Retail/Wholesale,Retail - Discount & Variety
GlobalFoundries,GFS,"$27,386",NASDAQ,United States,Computer and Technology,Semiconductors
Take-Two Interactive Software,TTWO,"$27,365",NASDAQ,United States,Consumer Discretionary,"Toys, Games and Hobby Products"
CBRE,CBRE,"$27,314",NYSE,United States,Finance,Real Estate Operations
Hewlett Packard Enterprise,HPE,"$27,176",NYSE,United States,Computer and Technology,Computers - Integrated Systems
Targa Resources,TRGP,"$26,934",NYSE,United States,Oils/Energy,Oil Refining & Marketing MLP
"Corporacion Inmobiliaria Vesta, S.A.B De C.V",VTMX,"$26,816",NYSE,Mexico,Finance,Real Estate Operations
EBay,EBAY,"$26,701",NASDAQ,United States,Retail/Wholesale,Internet Commerce
Deckers Outdoor,DECK,"$26,448",NYSE,United States,Retail/Wholesale,Retail - Apparel & Shoes
T Rowe Price,TROW,"$26,436",NASDAQ,United States,Finance,Finance - Investment Management
ICON,ICLR,"$26,380",NASDAQ,Ireland,Medical,Medical Services
Willis Towers Watson Public,WTW,"$26,163",NASDAQ,United Kingdom,Finance,Insurance Brokers
Snap,SNAP,"$26,043",NYSE,United States,Computer and Technology,Internet Software
Church & Dwight,CHD,"$26,015",NYSE,United States,Consumer Staples,Soap and Cleaning Preparations
Fortive,FTV,"$25,997",NYSE,United States,Computer and Technology,Electrical Test Equipment
Telefonica SA,TEF,"$25,992",NYSE,Spain,Utilities,Diversified Communication Services
Nutrien,NTR,"$25,927",NYSE,Canada,Basic Materials,Fertilizer Manufacturers
NetApp,NTAP,"$25,875",NASDAQ,United States,Computer and Technology,Computer Storage Devices
Western Digital,WDC,"$25,857",NASDAQ,United States,Computer and Technology,Computer Storage Devices
Brown & Brown,BRO,"$25,807",NYSE,United States,Finance,Insurance Brokers
Cloudflare,NET,"$25,627",NYSE,United States,Computer and Technology,Internet Software
Orix Corp Ads,IX,"$25,623",NYSE,Japan,Finance,Finance - Miscellaneous Services
Iron Mountain,IRM,"$25,591",NYSE,United States,Finance,REIT - Other Equity Trusts
Prudential Public,PUK,"$25,510",NYSE,United Kingdom,Finance,Multi-Line Insurance Providers
Blue Owl Capital,OWL,"$25,204",NYSE,United States,Finance,Finance - Investment Management
AppLovin,APP,"$25,183",NASDAQ,United States,Business Services,Technology Services
ASE Technology Holding,ASX,"$25,057",NYSE,Taiwan,Computer and Technology,Semiconductors
WEC Energy,WEC,"$25,048",NYSE,United States,Utilities,Utility - Electric Power Distribution
Dover,DOV,"$24,978",NYSE,United States,Industrial Products,General Industrial Machinery
Equity Residential,EQR,"$24,971",NYSE,United States,Finance,REIT - Residential Equity Trusts
Veralto,VLTO,"$24,964",NYSE,United States,Business Services,Technology Services
American Water Works,AWK,"$24,963",NYSE,United States,Utilities,Utility - Water Supply
Heico,HEI.A,"$24,715",NYSE,United States,Aerospace,Aerospace and Defense Equipment
International Flavors & Fragrances,IFF,"$24,713",NYSE,United States,Consumer Staples,Consumer Products - Misc. Discretionary
Fifth Third Bancorp,FITB,"$24,660",NASDAQ,United States,Finance,Banks - Major Regional
West Pharmaceutical Services,WST,"$24,652",NYSE,United States,Medical,Medical & Dental Supplies
Raymond James Financial,RJF,"$24,627",NYSE,United States,Finance,Finance - Investment Banks
Tencent Music Entertainment Group,TME,"$24,609",NYSE,China,Computer and Technology,Internet Content
Teck Resources,TECK,"$24,546",NYSE,Canada,Basic Materials,Mining - Miscellaneous
Joint Stock Kaspi.kz,KSPI,"$24,507",NASDAQ,,Business Services,Financial Transaction Services
Tradeweb Markets,TW,"$24,454",NASDAQ,United States,Finance,Finance - Investment Banks
Global Payments,GPN,"$24,361",NYSE,United States,Business Services,Financial Transaction Services
PulteGroup,PHM,"$24,265",NYSE,United States,Construction,Building - Residential and Commercial
Wheaton Precious Metals,WPM,"$24,261",NYSE,Canada,Basic Materials,Mining - Miscellaneous
First Citizens BancShares,FCNCA,"$24,153",NASDAQ,United States,Finance,Banks - Southeast
Cardinal Health,CAH,"$24,113",NYSE,United States,Medical,Medical & Dental Supplies
Keysight Technologies,KEYS,"$24,106",NYSE,United States,Computer and Technology,Electrical Measuring Instruments
NVR,NVR,"$23,984",NYSE,United States,Construction,Building - Residential and Commercial
M&T Bank,MTB,"$23,967",NYSE,United States,Finance,Banks - Major Regional
Koninklijke Philips,PHG,"$23,820",NYSE,Netherlands,Medical,Medical Products Manufacturing
Vodafone Group,VOD,"$23,794",NASDAQ,United Kingdom,Computer and Technology,Wireless - Non-US Providers
TELUS,TU,"$23,749",NYSE,Canada,Utilities,Diversified Communication Services
Cheniere Energy Partners,CQP,"$23,703",NYSE,United States,Oils/Energy,Other Alternate Energy
Mobileye Global,MBLY,"$23,655",NASDAQ,Israel,Auto/Tires/Trucks,Auto & Truck Original Equipment Manufacturers
Dollar Tree,DLTR,"$23,401",NASDAQ,United States,Retail/Wholesale,Retail - Discount & Variety
DTE Energy,DTE,"$23,307",NYSE,United States,Utilities,Utility - Electric Power Distribution
Broadridge Financial Solutions,BR,"$23,277",NYSE,United States,Business Services,Outsourcing Services
BioNTech SE,BNTX,"$23,276",NASDAQ,Germany,Medical,Medical - Biomedical and Genetics
CGI,GIB,"$23,275",NYSE,Canada,Computer and Technology,Computer - Services
Teradyne,TER,"$23,239",NASDAQ,United States,Computer and Technology,Electrical Test Equipment
KB Financial Group Inc,KB,"$23,206",NYSE,South Korea,Finance,Banks - Foreign
Rollins,ROL,"$23,204",NYSE,United States,Construction,Building - Maintenance and Services
Franco-Nevada,FNV,"$22,938",NYSE,Canada,Basic Materials,Gold Miners
Entergy,ETR,"$22,925",NYSE,United States,Utilities,Utility - Electric Power Distribution
Cameco,CCJ,"$22,792",NYSE,Canada,Basic Materials,Mining - Miscellaneous
Argenex SE,ARGX,"$22,732",NASDAQ,Netherlands,Medical,Medical - Biomedical and Genetics
Carvana,CVNA,"$22,499",NYSE,United States,Retail/Wholesale,Internet Commerce
STERIS,STE,"$22,336",NYSE,Ireland,Medical,Medical Instruments Manufacturing
Axon Enterprise,AXON,"$22,326",NASDAQ,United States,Industrial Products,Protection - Safety Equipment & Services
FirstEnergy,FE,"$22,244",NYSE,United States,Utilities,Utility - Electric Power Distribution
Symbotic,SYM,"$22,116",NASDAQ,United States,Business Services,Technology Services
Zimmer Biomet Holdings,ZBH,"$22,106",NYSE,United States,Medical,Medical Products Manufacturing
United Microelectronics,UMC,"$21,858",NYSE,Taiwan,Computer and Technology,Semiconductors
Restaurant Brands,QSR,"$21,790",NYSE,Canada,Retail/Wholesale,Retail - Food & Restaurants
Pure Storage,PSTG,"$21,733",NYSE,United States,Computer and Technology,Computer Storage Devices
State Street,STT,"$21,733",NYSE,United States,Finance,Banks - Major Regional
Pembina Pipeline,PBA,"$21,639",NYSE,Canada,Oils/Energy,Oil & Gas - Production and Pipelines
Seagate Technology Holdings,STX,"$21,597",NASDAQ,Ireland,Business Services,Technology Services
Invitation Home,INVH,"$21,469",NYSE,United States,Finance,REIT - Residential Equity Trusts
Roblox,RBLX,"$21,305",NYSE,United States,Consumer Discretionary,Gaming
Weyerhaeuser,WY,"$21,295",NYSE,United States,Construction,Building Products - Wood
PTC,PTC,"$21,182",NASDAQ,United States,Computer and Technology,Computer Software
SBA Communications,SBAC,"$21,090",NASDAQ,United States,Finance,REIT - Other Equity Trusts
Nokia,NOK,"$21,042",NYSE,Finland,Computer and Technology,Wireless Equipment Manufacturers
LPL Financial Holdings,LPLA,"$20,843",NASDAQ,United States,Finance,Finance - Investment Banks
Ball,BALL,"$20,839",NYSE,United States,Industrial Products,Containers - Metal & Glass
Robinhood Markets,HOOD,"$20,828",NASDAQ,United States,Finance,Finance - Investment Banks
Entegris,ENTG,"$20,772",NASDAQ,United States,Computer and Technology,Electronics - Manufacturing Machinery
Eversource Energy,ES,"$20,762",NYSE,United States,Utilities,Utility - Electric Power Distribution
PPL,PPL,"$20,753",NYSE,United States,Utilities,Utility - Electric Power Distribution
Coterra Energy,CTRA,"$20,727",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Live Nation Entertainment,LYV,"$20,649",NYSE,United States,Consumer Discretionary,Leisure & Recreation Services
Hubbell Inc,HUBB,"$20,588",NYSE,United States,Industrial Products,Electrical Utility Machinery
Aptiv,APTV,"$20,478",NYSE,Ireland,Business Services,Technology Services
Rogers Communication,RCI,"$20,401",NYSE,Canada,Consumer Discretionary,Cable TV Providers
Tyler Technologies,TYL,"$20,318",NYSE,United States,Computer and Technology,Business Software Services
Brown Forman,BF.A,"$20,314",NYSE,United States,Consumer Staples,Alcoholic Beverages
Ericsson,ERIC,"$20,313",NASDAQ,Sweden,Computer and Technology,Wireless Equipment Manufacturers
Brown-Forman,BF.B,"$20,276",NYSE,United States,Consumer Staples,Alcoholic Beverages
Markel Group,MKL,"$20,246",NYSE,United States,Multi-Sector Conglomerates,Diversified Operations
Alexandria Real Estate Equities,ARE,"$20,239",NYSE,United States,Finance,REIT - Other Equity Trusts
Li Auto,LI,"$20,127",NASDAQ,China,Auto/Tires/Trucks,Auto Manufacturers - Foreign
Alnylam Pharmaceuticals,ALNY,"$20,117",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Kellanova,K,"$20,089",NYSE,United States,Consumer Discretionary,Consumer Products - Misc. Discretionary
Ventas,VTR,"$20,044",NYSE,United States,Finance,REIT - Other Equity Trusts
Align Technology,ALGN,"$20,035",NASDAQ,United States,Medical,Medical & Dental Supplies
Williams-Sonoma,WSM,"$20,000",NYSE,United States,Retail/Wholesale,Retail - Home Furnishings
W.R Berkley,WRB,"$19,985",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
Genuine Parts,GPC,"$19,890",NYSE,United States,Auto/Tires/Trucks,Auto & Truck Replacement Parts
CenterPoint Energy,CNP,"$19,825",NYSE,United States,Utilities,Utility - Electric Power Distribution
Carlisle,CSL,"$19,782",NYSE,United States,Multi-Sector Conglomerates,Diversified Operations
GoDaddy,GDDY,"$19,701",NYSE,United States,Computer and Technology,Internet Services - Delivery
KE Holdings,BEKE,"$19,692",NYSE,China,Finance,Real Estate Operations
Westlake,WLK,"$19,653",NYSE,United States,Basic Materials,Chemicals - Plastics
Booz Allen Hamilton Holding,BAH,"$19,646",NYSE,United States,Business Services,Government Services
Leidos Holdings,LDOS,"$19,549",NYSE,United States,Aerospace,Aerospace and Defense General
Tyson Foods,TSN,"$19,539",NYSE,United States,Consumer Staples,Food Items - Meat Products
ArcelorMittal,MT,"$19,505",NYSE,Luxembourg,Basic Materials,Steel Producers
Watsco,WSO,"$19,486",NYSE,United States,Construction,Building Products - Air Conditioning & Heating
Fortis,FTS,"$19,425",NYSE,Canada,Utilities,Utility - Electric Power Distribution
Teva Pharmaceutical Industries,TEVA,"$19,305",NYSE,Israel,Medical,Medical - Generic Drugs
Warner Bros Discovery,WBD,"$19,137",NASDAQ,United States,Consumer Discretionary,Broadcasting - Radio & TV
Lennox,LII,"$18,994",NYSE,United States,Construction,Building Products - Air Conditioning & Heating
Steel Dynamics,STLD,"$18,979",NASDAQ,United States,Basic Materials,Steel Producers
Cooper,COO,"$18,879",NASDAQ,United States,Medical,Medical & Dental Supplies
Teledyne Technologies,TDY,"$18,819",NYSE,United States,Aerospace,Aerospace and Defense Equipment
Carnival,CCL,"$18,788",NYSE,United States,Consumer Discretionary,Leisure & Recreation Services
Zoom Video Communications,ZM,"$18,717",NASDAQ,United States,Computer and Technology,Internet Software
Ameren,AEE,"$18,704",NYSE,United States,Utilities,Utility - Electric Power Distribution
Best Buy,BBY,"$18,633",NYSE,United States,Retail/Wholesale,Retail - Consumer Electronics
Ulta Beauty,ULTA,"$18,615",NASDAQ,United States,Retail/Wholesale,Retail - Miscellaneous & Diversified
Endeavors,EDR,"$18,604",NYSE,United States,Consumer Discretionary,Media Conglomerates
McCormick,MKC,"$18,537",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Domino's Pizza Inc,DPZ,"$18,535",NYSE,United States,Retail/Wholesale,Retail - Food & Restaurants
Tenaris S.A,TS,"$18,529",NYSE,Luxembourg,Industrial Products,Steel - Pipe & Tubes
Erie Indemnity,ERIE,"$18,481",NASDAQ,United States,Finance,Insurance Brokers
Banco Santander Brasil SA,BSBR,"$18,479",NYSE,Brazil,Finance,Banks - Foreign
Builders FirstSource,BLDR,"$18,449",NYSE,United States,Retail/Wholesale,Building Products - Retail & Wholesale
Avery Dennison,AVY,"$18,383",NYSE,United States,Industrial Products,Office Supplies and Forms
TKOs,TKO,"$18,383",NYSE,United States,Consumer Discretionary,Movie & TV Production and Distribution
Principal Financial,PFG,"$18,343",NASDAQ,United States,Finance,Finance - Investment Management
Enphase Energy,ENPH,"$18,303",NASDAQ,United States,Oils/Energy,Solar Equipment and Services
DICK'S Sporting Goods,DKS,"$18,084",NYSE,United States,Retail/Wholesale,Retail - Miscellaneous & Diversified
Huntington Bancshares,HBAN,"$18,029",NASDAQ,United States,Finance,Banks - Midwest
Aercap Holdings,AER,"$18,012",NYSE,Ireland,Finance,Finance - Leasing Companies
EQT,EQT,"$18,004",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
EMCOR,EME,"$17,981",NYSE,United States,Construction,Building - Heavy Construction
Watsco,WSO.B,"$17,940",NYSE,United States,Construction,Building Products - Air Conditioning & Heating
VeriSign,VRSN,"$17,934",NASDAQ,United States,Computer and Technology,Internet Software & Services
Shinhan Financial Group Co,SHG,"$17,931",NYSE,South Korea,Finance,Banks - Foreign
Texas Pacific Land,TPL,"$17,869",NYSE,United States,Oils/Energy,Other Alternate Energy
Molina Healthcare,MOH,"$17,864",NYSE,United States,Medical,Medical - Health Maintenance Organizations
Waters,WAT,"$17,853",NYSE,United States,Medical,Medical Instruments Manufacturing
Check Point Software Technologies,CHKP,"$17,840",NASDAQ,Israel,Computer and Technology,Information Technology Services
CMS Energy,CMS,"$17,827",NYSE,United States,Utilities,Utility - Electric Power Distribution
Corpay,CPAY,"$17,825",NYSE,United States,Business Services,Financial Transaction Services
Cincinnati Financial,CINF,"$17,799",NASDAQ,United States,Finance,"Property, Casualty and Title Insurance"
Genmab,GMAB,"$17,701",NASDAQ,Denmark,Medical,Medical - Biomedical and Genetics
Expeditors Of Washington,EXPD,"$17,697",NYSE,United States,Transportation,Transportation - Services
Nomura Holdings Inc ADR,NMR,"$17,692",NYSE,Japan,Finance,Finance - Investment Banks
Corebridge Financial,CRBG,"$17,669",NYSE,United States,Finance,Multi-Line Insurance Providers
Darden Restaurants,DRI,"$17,568",NYSE,United States,Retail/Wholesale,Retail - Food & Restaurants
Atmos Energy,ATO,"$17,529",NYSE,United States,Utilities,Utility - Natural Gas Distribution
Synchrony Financial,SYF,"$17,527",NYSE,United States,Finance,Finance - Miscellaneous Services
Jacobs Solutions,J,"$17,507",NYSE,United States,Business Services,Technology Services
Omnicom Group,OMC,"$17,462",NYSE,United States,Business Services,Advertising and Marketing Services
Essex Property Trust,ESS,"$17,429",NYSE,United States,Finance,REIT - Residential Equity Trusts
United Airlines Holdings Inc,UAL,"$17,404",NASDAQ,United States,Transportation,Transportation - Airlines
Illumina,ILMN,"$17,286",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Regions Financial,RF,"$17,117",NYSE,United States,Finance,Banks - Southeast
Northern Trust,NTRS,"$17,098",NASDAQ,United States,Finance,Banks - Major Regional
Southwest Airlines,LUV,"$17,020",NYSE,United States,Transportation,Transportation - Airlines
Intercontinental Hotels Group,IHG,"$16,977",NYSE,United Kingdom,Consumer Discretionary,Hotels & Motels
Expedia,EXPE,"$16,976",NASDAQ,United States,Retail/Wholesale,Internet Commerce
Baxter,BAX,"$16,974",NYSE,United States,Medical,Medical Products Manufacturing
Brookfield Asset Management,BAM,"$16,919",NYSE,Canada,Finance,Finance - Miscellaneous Services
Hologic,HOLX,"$16,915",NASDAQ,United States,Medical,Medical Instruments Manufacturing
MongoDB,MDB,"$16,816",NASDAQ,United States,Computer and Technology,Internet Software
Liberty Media - Liberty Formula One Series C,FWONK,"$16,812",NASDAQ,,Consumer Discretionary,Media Conglomerates
Aegon,AEG,"$16,810",NYSE,Netherlands,Finance,Multi-Line Insurance Providers
NRG Energy,NRG,"$16,741",NYSE,United States,Utilities,Utility - Electric Power Distribution
Hormel Foods,HRL,"$16,723",NYSE,United States,Consumer Staples,Food Items - Meat Products
J.B Hunt Transport Services,JBHT,"$16,612",NASDAQ,United States,Transportation,Transportation - Truck
Packaging Of America,PKG,"$16,596",NYSE,United States,Industrial Products,Containers - Paper & Plastic
Labcorp,LH,"$16,553",NYSE,United States,Medical,Medical & Dental Supplies
Loews,L,"$16,530",NYSE,United States,Finance,Multi-Line Insurance Providers
Textron,TXT,"$16,494",NYSE,United States,Aerospace,Aerospace and Defense General
Skyworks Solutions,SWKS,"$16,468",NASDAQ,United States,Computer and Technology,Semiconductors - Radio Frequency
Clorox,CLX,"$16,262",NYSE,United States,Consumer Staples,Soap and Cleaning Preparations
Royalty Pharma,RPRX,"$16,250",NASDAQ,United States,Finance,Finance - Miscellaneous Services
Everest Group,EG,"$16,241",NYSE,Bermuda,Finance,Multi-Line Insurance Providers
Samsara,IOT,"$16,191",NYSE,United States,Computer and Technology,Internet Software
Reliance,RS,"$16,133",NYSE,United States,Basic Materials,Mining - Miscellaneous
Logitech S.A,LOGI,"$16,107",NASDAQ,Switzerland,Computer and Technology,Computer - Peripherals
BeiGene,BGNE,"$16,088",NASDAQ,Cayman Islands,Medical,Medical - Biomedical and Genetics
BioMarin Pharmaceutical,BMRN,"$16,054",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Mid-America Apartment Communities,MAA,"$16,045",NYSE,United States,Finance,REIT - Residential Equity Trusts
News,NWS,"$16,042",NASDAQ,United States,Consumer Discretionary,Movie & TV Production and Distribution
Citizens Financial,CFG,"$15,999",NYSE,United States,Finance,Finance - Savings & Loans
Celanese,CE,"$15,923",NYSE,United States,Basic Materials,Chemicals - Specialty
Warner Music Group,WMG,"$15,859",NASDAQ,United States,Consumer Discretionary,Movie & TV Production and Distribution
Marathon Oil,MRO,"$15,810",NYSE,United States,Oils/Energy,Oil & Gas - US Integrated
Owens Corning Inc,OC,"$15,719",NYSE,United States,Construction,Building & Construction Products - Misc.
News,NWSA,"$15,700",NASDAQ,United States,Consumer Discretionary,Movie & TV Production and Distribution
Zebra Technologies,ZBRA,"$15,660",NASDAQ,United States,Industrial Products,Thermal Processing Machinery
International Paper,IP,"$15,599",NYSE,United States,Basic Materials,Paper & Paper Products
Fox,FOXA,"$15,598",NASDAQ,United States,Consumer Discretionary,Broadcasting - Radio & TV
Gen Digital,GEN,"$15,585",NASDAQ,United States,Business Services,Technology Services
IDEX,IEX,"$15,577",NYSE,United States,Industrial Products,General Industrial Machinery
FactSet Research Systems,FDS,"$15,483",NYSE,United States,Business Services,Business Information Services
Rentokil Initial,RTO,"$15,460",NYSE,United Kingdom,Business Services,Business Services
Quest Diagnostics,DGX,"$15,423",NYSE,United States,Medical,Medical - Outpatient & Home Care
Liberty Media - Liberty Formula One Series A,FWONA,"$15,223",NASDAQ,,Consumer Discretionary,Media Conglomerates
SS&C Technologies Holdings,SSNC,"$15,215",NASDAQ,United States,Computer and Technology,Computer Software
Masco,MAS,"$15,192",NYSE,United States,Construction,Building & Construction Products - Misc.
