Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
AMD,AMD,1.9,0.9158,11.8289,33.3999,-2.8151,-2.8151,0.8718,-7.2285,-7.3193,1.4616,5.3533,6.7311,54.2263,-215.508,203.5353,-10.6982,-18.1368,0.241,0.0687,-0.2593,2014
AstraZeneca,AZN,0.8203,0.3635,0.702,81.9519,17.8844,17.8844,29.6435,15.0597,12.9991,0.453,1.5243,3.3804,107.9758,15.2198,-31.4216,5.895,9.6878,12.6329,0.1679,0.0338,2023
AstraZeneca,AZN,0.8593,0.3826,0.7631,72.0615,8.4711,8.4711,20.827,5.6391,7.4136,0.4597,2.6369,3.9416,92.6018,8.8861,-14.9214,3.413,5.4862,11.9557,1.0543,1.1727,2022
AstraZeneca,AZN,1.1615,0.4173,0.7584,66.7611,2.8222,2.8222,20.2742,-0.7082,0.2993,0.3551,1.3845,3.6303,100.544,0.2927,-0.4979,0.1091,0.1706,12.6781,0.2618,0.2097,2021
AstraZeneca,AZN,0.9624,0.5282,1.2597,80.0917,19.3936,19.3936,31.2244,14.7124,12.0074,0.3989,1.3168,3.6037,101.2845,20.1049,-18.3281,4.7116,9.4862,5.9566,0.6865,0.7229,2020
AstraZeneca,AZN,0.859,0.5187,1.2025,79.8187,11.9915,11.9915,27.4196,6.3484,5.4749,0.3973,1.5412,4.0331,90.5016,8.4064,-6.8528,1.9991,4.046,5.5619,0.1079,0.1527,2019
AstraZeneca,AZN,0.957,0.5528,1.3609,77.655,15.3327,15.3327,32.3223,9.0222,9.7555,0.3642,1.708,3.8211,95.5213,14.597,-10.4475,3.38,6.528,5.5421,-0.38,-0.2959,2018
AstraZeneca,AZN,0.8027,0.4832,1.07,80.779,16.3677,16.3677,29.882,9.9132,13.3586,0.3546,1.4227,4.0602,89.8974,17.2335,-13.4201,4.5269,8.9063,6.5715,-0.2239,-0.1761,2017
AstraZeneca,AZN,0.8693,0.4652,1.0083,82.0624,21.3112,21.3112,31.5581,15.4421,15.2117,0.3679,1.7678,4.6013,79.3251,20.4331,-15.0875,5.4473,10.9272,6.5873,0.3232,0.2908,2016
AstraZeneca,AZN,1.0765,0.433,0.8133,81.1964,16.6505,16.6505,28.1933,12.4211,11.4335,0.4114,2.168,3.5252,103.5408,15.2683,-17.7323,4.7056,8.6565,7.3209,-1.4781,-1.6466,2015
AstraZeneca,AZN,0.9635,0.2994,0.5519,77.9937,8.0499,8.0499,20.4129,4.6936,4.6446,0.4531,2.9806,3.511,103.9577,6.2863,-9.5848,2.1077,4.404,7.7766,-0.1587,-0.2281,2014
QUALCOMM,QCOM,2.3332,0.4016,0.7135,55.6979,21.742,21.742,27.3004,20.7789,20.1898,0.7018,2.471,11.2535,32.4343,34.0068,77.0014,14.3789,20.3494,19.3725,2.0346,2.8447,2023
QUALCOMM,QCOM,1.7465,0.4291,0.8595,57.8394,35.8824,35.8824,39.8733,33.9321,29.267,0.9018,2.9388,7.8327,46.5994,72.0924,230.9444,26.4945,41.1601,16.0687,-1.1697,-1.5142,2022
QUALCOMM,QCOM,1.6798,0.5793,1.5824,57.5106,29.1634,29.1634,33.8914,30.6084,26.941,0.8139,4.4182,9.3786,38.9184,90.8844,725.7625,21.9277,38.2352,8.8444,4.1096,3.6937,2021
QUALCOMM,QCOM,2.1355,0.7147,2.5878,60.6689,26.582,26.582,32.5018,24.3041,22.09,0.6611,3.5624,5.8783,62.0924,85.5356,-273.723,14.6036,24.4003,5.3731,-0.912,-1.5719,2020
QUALCOMM,QCOM,1.8763,0.7324,3.2457,64.5738,31.5865,31.5865,38.1947,30.8203,18.0695,0.7365,6.1421,9.8231,37.1571,89.3461,-123.7236,13.3083,23.9071,4.2873,3.3009,-3.0082,2019
QUALCOMM,QCOM,1.5264,0.9501,20.285,54.6946,2.7465,2.7465,10.8576,1.7337,-21.9539,0.6911,6.0508,7.7862,46.8781,-615.1177,57.4138,-15.1721,-30.695,0.662,-0.6852,5.5223,2018
QUALCOMM,QCOM,3.9968,0.3868,0.7121,56.0068,11.5958,11.5958,18.5012,13.4199,10.9848,0.3399,4.8118,6.1283,59.5597,7.949,11.9886,3.7321,4.874,20.8589,-1.7384,-1.8417,2017
QUALCOMM,QCOM,3.1433,0.2396,0.3701,58.61,27.5749,27.5749,34.0919,29.0099,24.2209,0.4499,6.2654,10.6147,34.3863,17.9489,25.2424,10.8902,13.649,21.523,1.7354,1.8198,2016
QUALCOMM,QCOM,3.6228,0.2409,0.3492,58.9494,22.8472,22.8472,27.6492,25.6596,20.8497,0.4977,6.9558,12.8722,28.3557,16.7696,23.7372,10.3709,12.7299,20.6129,-1.8255,-1.6,2015
QUALCOMM,QCOM,3.7274,-,-,59.6557,28.5046,28.5046,32.8463,33.1408,30.0789,0.5453,7.3292,10.9813,33.2382,19.2361,23.4719,15.5104,19.2361,23.4668,0.1803,0.1058,2014
Salesforce,CRM,1.0917,0.1238,0.158,75.497,14.3759,14.3759,31.2563,14.2009,11.8656,0.3492,-,3.0539,119.52,6.9342,71.9555,4.1433,6.0758,61.4274,3.268,3.3204,2023
Salesforce,CRM,1.0195,0.139,0.1817,73.335,3.2853,3.2853,20.6813,2.1051,0.6634,0.3172,-,2.9151,125.2097,0.3564,7.802,0.2104,0.3069,59.4893,0.9722,0.908,2022
Salesforce,CRM,1.0487,0.1541,0.1823,73.4788,2.0685,2.0685,19.6059,5.7829,5.4507,0.2783,-,2.7202,134.1814,2.484,118.75,1.5167,2.1012,58.7776,0.9978,1.0251,2021
Salesforce,CRM,1.2347,0.0605,0.0644,74.4118,2.141,2.141,20.511,12.0506,19.1606,0.3205,-,2.7295,133.7234,9.8137,36.814,6.1417,9.2198,45.1502,0.0671,0.0601,2020
Salesforce,CRM,1.0753,0.0731,0.0789,75.231,1.737,1.737,19.3473,4.1291,0.7369,0.3102,-,2.7694,131.7996,0.3718,3.1289,0.2286,0.3447,37.9451,0.7108,0.722,2019
Salesforce,CRM,0.9492,0.169,0.2033,74.0175,4.028,4.028,16.9703,7.401,8.3572,0.4321,-,2.6974,135.3155,7.1131,133.574,3.6113,5.9112,20.2662,0.6593,0.6182,2018
Salesforce,CRM,0.952,0.0628,0.1658,73.6907,4.3074,4.3074,17.3624,3.9848,3.4156,0.4794,-,2.6881,135.7841,3.4695,16.1074,1.6376,3.2517,14.2137,0.6366,0.5729,2017
Salesforce,CRM,0.822,0.2112,0.2678,73.5214,2.5839,2.5839,16.0128,2.1216,3.8284,0.4798,-,2.6393,138.2926,4.3066,-36.8262,1.8368,3.397,10.6015,0.5614,0.3285,2016
Salesforce,CRM,1.0204,0.2045,0.2571,75.1838,1.7237,1.7237,14.807,0.9641,-0.7113,0.5224,-,2.671,136.6538,-0.948,-7.154,-0.3716,-0.7541,7.4566,0.6343,0.6697,2015
Salesforce,CRM,0.8006,0.2564,0.3448,76.0073,-2.7102,-2.7102,11.1643,-3.9654,-4.8885,0.5038,-,2.82,129.4312,-6.6082,-136.4449,-2.4631,-4.9138,6.1101,0.428,0.4631,2014
