Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Stryker,SYK,"$14,884","$5,188","$9,696",$971,"$5,356",$-192,"$6,983","$2,713",$-151,"$2,562",$479,"$2,083",-,"$2,083",-,"$2,083","$3,491","$2,713",374,380,$5.57,$5.48,2019
Stryker,SYK,"$13,601","$4,663","$8,938",$862,"$5,099",$-23,"$6,401","$2,537",$-181,"$2,356","$-1,197","$3,553",-,"$3,553",-,"$3,553","$3,260","$2,537",374,380,$9.50,$9.34,2018
Stryker,SYK,"$12,444","$4,264","$8,180",$787,"$4,552",$-173,"$5,883","$2,297",$-234,"$2,063","$1,043","$1,020",-,"$1,020",-,"$1,020","$2,939","$2,297",374,380,$2.73,$2.68,2017
Stryker,SYK,"$11,325","$3,821","$7,504",$715,"$4,137",$-158,"$5,329","$2,175",$-254,"$1,921",$274,"$1,647",-,"$1,647",-,"$1,647","$2,721","$2,175",374,379,$4.40,$4.35,2016
Stryker,SYK,"$9,946","$3,344","$6,602",$625,"$3,610",$-296,"$4,741","$1,861",$-126,"$1,735",$296,"$1,439",-,"$1,439",-,"$1,439","$2,258","$1,861",377,381,$3.82,$3.78,2015
Stryker,SYK,"$9,675","$3,319","$6,356",$614,"$3,547",$-761,"$5,110","$1,246",$-86,"$1,160",$645,$515,-,$515,-,$515,"$1,624","$1,246",379,383,$1.36,$1.34,2014
Booking Holdings,BKNG,"$21,365",-,"$21,365",-,"$15,021",$-5,-,"$5,835",$-354,"$5,481","$1,192","$4,289",-,"$4,289",-,"$4,289","$6,339","$5,835",36,37,$118.67,$117.40,2023
Booking Holdings,BKNG,"$17,090",-,"$17,090",-,"$11,736",$199,-,"$5,102","$-1,179","$3,923",$865,"$3,058",-,"$3,058",-,"$3,058","$5,553","$5,102",40,40,$76.70,$76.35,2022
Booking Holdings,BKNG,"$10,958",-,"$10,958",-,"$8,028",$-13,-,"$2,496","$-1,031","$1,465",$300,"$1,165",-,"$1,165",-,"$1,165","$2,917","$2,496",41,41,$28.39,$28.17,2021
Booking Holdings,BKNG,"$6,796",-,"$6,796",-,"$5,758",-,-,$-631,"$1,198",$567,$508,$59,-,$59,-,$59,$889,$-631,41,41,$1.45,$1.44,2020
Booking Holdings,BKNG,"$15,066",-,"$15,066",-,"$9,252",-,-,"$5,345",$613,"$5,958","$1,093","$4,865",-,"$4,865",-,"$4,865","$5,872","$5,345",43,44,$112.93,$111.82,2019
Booking Holdings,BKNG,"$14,527",-,"$14,527",-,"$8,760",-,-,"$5,341",$-506,"$4,835",$837,"$3,998",-,"$3,998",-,"$3,998","$5,826","$5,341",47,48,$84.26,$83.26,2018
Booking Holdings,BKNG,"$12,681",$242,"$12,439",-,"$7,538",-,"$7,901","$4,538",$-139,"$4,399","$2,058","$2,341",-,"$2,341",-,"$2,341","$4,980","$4,538",49,50,$47.78,$46.86,2017
Booking Holdings,BKNG,"$10,743",$415,"$10,328",-,"$6,172",-,"$7,422","$2,906",$-193,"$2,713",$578,"$2,135",-,"$2,135",-,"$2,135","$4,233","$2,906",49,50,$43.14,$42.65,2016
Booking Holdings,BKNG,"$9,223.987",$632.18,"$8,591.808",-,"$5,060.406",-,"$5,332.9","$3,258.907",$-130.587,"$3,128.32",$576.96,"$2,551.36",-,"$2,551.36",-,"$2,551.36","$3,605.666","$3,258.907",51,52,$50.09,$49.45,2015
Booking Holdings,BKNG,"$8,441.971",$857.841,"$7,584.13",-,"$4,302.998",-,"$4,510.818","$3,073.312",$-83.864,"$2,989.448",$567.695,"$2,421.753",-,"$2,421.753",-,"$2,421.753","$3,341.092","$3,073.312",52,53,$46.30,$45.67,2014
ConocoPhillips,COP,"$58,574","$22,373","$36,201",-,"$10,472",$-16,"$18,758","$17,443","$-1,155","$16,288","$5,331","$10,957",-,"$10,957",-,"$10,957","$25,996","$17,443","1,203","1,206",$9.08,$9.06,2023
ConocoPhillips,COP,"$82,156","$34,535","$47,621",-,"$10,993",$59,"$18,438","$29,183",$-955,"$28,228","$9,548","$18,680",-,"$18,680",-,"$18,680","$36,937","$29,183","1,274","1,278",$14.62,$14.57,2022
ConocoPhillips,COP,"$48,349","$18,502","$29,847",-,"$8,047",$-776,"$16,031","$13,816","$-1,104","$12,712","$4,633","$8,079",-,"$8,079",-,"$8,079","$21,266","$13,816","1,324","1,328",$6.09,$6.07,2021
ConocoPhillips,COP,"$19,256","$9,535","$9,721",-,"$5,528",$-826,"$11,875","$-2,154",$-986,"$-3,140",$-485,"$-2,655",-,"$-2,655",-,"$-2,701","$3,619","$-2,154","1,078","1,078",$-2.51,$-2.51,2020
ConocoPhillips,COP,"$36,670","$12,585","$24,085",-,"$6,831",$-470,"$13,391","$10,694","$-1,170","$9,524","$2,267","$7,257",-,"$7,257",-,"$7,189","$17,110","$10,694","1,117","1,124",$6.43,$6.40,2019
ConocoPhillips,COP,"$38,727","$14,663","$24,064",-,"$6,662",$-402,"$13,020","$11,044","$-1,071","$9,973","$3,668","$6,305",-,"$6,305",-,"$6,257","$17,353","$11,044","1,166","1,176",$5.36,$5.32,2018
ConocoPhillips,COP,"$32,584","$13,409","$19,175",-,"$6,398","$-7,052","$20,295","$-1,120","$-1,495","$-2,615","$-1,822",$-793,-,$-793,-,$-855,"$6,087","$-1,120","1,221","1,221",$-0.70,$-0.70,2017
ConocoPhillips,COP,"$24,360","$11,906","$12,454",-,"$6,855",$-416,"$16,333","$-3,879","$-1,651","$-5,530","$-1,971","$-3,559",-,"$-3,559",-,"$-3,615","$5,608","$-3,879","1,245","1,245",$-2.91,$-2.91,2016
ConocoPhillips,COP,"$30,935","$16,618","$14,317",-,"$8,870","$-2,245","$20,228","$-5,911","$-1,328","$-7,239","$-2,868","$-4,371",-,"$-4,371",-,"$-4,428","$3,685","$-5,911","1,242","1,242",$-3.58,$-3.58,2015
ConocoPhillips,COP,"$55,517","$24,144","$31,373",-,"$11,732",$-856,"$20,917","$10,456","$-1,066","$9,390","$3,583","$5,807",-,"$5,807","$1,131","$6,869","$19,269","$10,456","1,237","1,246",$5.54,$5.51,2014
Intel,INTC,"$54,228","$32,517","$21,711","$16,046","$5,634",-,"$21,618",$93,$669,$762,$-913,"$1,675",-,"$1,675",-,"$1,689","$9,695",$93,"4,190","4,212",$0.40,$0.40,2023
Intel,INTC,"$63,054","$36,188","$26,866","$17,528","$7,002",-,"$24,532","$2,334","$5,434","$7,768",$-249,"$8,017",-,"$8,017",-,"$8,014","$15,369","$2,334","4,108","4,123",$1.95,$1.94,2022
Intel,INTC,"$79,024","$35,209","$43,815","$15,190","$6,543",-,"$24,359","$19,456","$2,247","$21,703","$1,835","$19,868",-,"$19,868",-,"$19,868","$31,248","$19,456","4,059","4,090",$4.89,$4.86,2021
Intel,INTC,"$77,867","$34,255","$43,612","$13,556","$6,180",-,"$19,934","$23,678","$1,400","$25,078","$4,179","$20,899",-,"$20,899",-,"$20,899","$35,917","$23,678","4,199","4,232",$4.98,$4.94,2020
Intel,INTC,"$71,965","$29,825","$42,140","$13,362","$6,350",-,"$20,105","$22,035","$2,023","$24,058","$3,010","$21,048",-,"$21,048",-,"$21,048","$32,861","$22,035","4,417","4,473",$4.77,$4.71,2019
